id	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	eventDate	eventTime	locationID	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision
BFSA:LTBCC:20040912:M1	BFSA:LTBCC:20040912:M1	BFSA:LTBCC:20040912	Total Count	98	hectare	240 observer-minutes	2004/9/12	13:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20040912:M2	BFSA:LTBCC:20040912:M2	BFSA:LTBCC:20040912	Total Count	83	hectare	80 observer-minutes	2004/9/12	14:10+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20040912:J2	BFSA:LTBCC:20040912:J2	BFSA:LTBCC:20040912	Line Transect	150	metre	120 observer-minutes	2004/9/12	15:05+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20040912:J3	BFSA:LTBCC:20040912:J3	BFSA:LTBCC:20040912	Line Transect	450	metre	120 observer-minutes	2004/9/12	15:40+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20040912:E1	BFSA:LTBCC:20040912:E1	BFSA:LTBCC:20040912	Total Count	12	hectare	630 observer-minutes	2004/9/12	10:30+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20040912:D1	BFSA:LTBCC:20040912:D1	BFSA:LTBCC:20040912	Total Count	20	hectare	240 observer-minutes	2004/9/12	08:30+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20040912:D2	BFSA:LTBCC:20040912:D2	BFSA:LTBCC:20040912	Total Count	20	hectare	240 observer-minutes	2004/9/12	09:20+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20040919:M1	BFSA:LTBCC:20040919:M1	BFSA:LTBCC:20040919	Total Count	98	hectare	300 observer-minutes	2004/9/19	13:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20040919:M2	BFSA:LTBCC:20040919:M2	BFSA:LTBCC:20040919	Total Count	83	hectare	100 observer-minutes	2004/9/19	14:10+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20040919:J2	BFSA:LTBCC:20040919:J2	BFSA:LTBCC:20040919	Line Transect	150	metre	150 observer-minutes	2004/9/19	15:05+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20040919:J3	BFSA:LTBCC:20040919:J3	BFSA:LTBCC:20040919	Line Transect	450	metre	210 observer-minutes	2004/9/19	15:40+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20040919:E1	BFSA:LTBCC:20040919:E1	BFSA:LTBCC:20040919	Total Count	12	hectare	450 observer-minutes	2004/9/19	10:30+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20040919:D1	BFSA:LTBCC:20040919:D1	BFSA:LTBCC:20040919	Total Count	20	hectare	200 observer-minutes	2004/9/19	08:30+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20040919:D2	BFSA:LTBCC:20040919:D2	BFSA:LTBCC:20040919	Total Count	20	hectare	200 observer-minutes	2004/9/19	09:20+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20040925:M1	BFSA:LTBCC:20040925:M1	BFSA:LTBCC:20040925	Total Count	98	hectare	360 observer-minutes	2004/9/25	13:05+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20040925:M2	BFSA:LTBCC:20040925:M2	BFSA:LTBCC:20040925	Total Count	83	hectare	225 observer-minutes	2004/9/25	14:20+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20040925:J2	BFSA:LTBCC:20040925:J2	BFSA:LTBCC:20040925	Line Transect	150	metre	300 observer-minutes	2004/9/25	15:30+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20040925:J3	BFSA:LTBCC:20040925:J3	BFSA:LTBCC:20040925	Line Transect	450	metre	300 observer-minutes	2004/9/25	16:05+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20040925:E1	BFSA:LTBCC:20040925:E1	BFSA:LTBCC:20040925	Total Count	12	hectare	260 observer-minutes	2004/9/25	10:50+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20040925:D1	BFSA:LTBCC:20040925:D1	BFSA:LTBCC:20040925	Total Count	20	hectare	160 observer-minutes	2004/9/25	08:35+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20040925:D2	BFSA:LTBCC:20040925:D2	BFSA:LTBCC:20040925	Total Count	20	hectare	200 observer-minutes	2004/9/25	09:30+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20041003:M1	BFSA:LTBCC:20041003:M1	BFSA:LTBCC:20041003	Total Count	98	hectare	120 observer-minutes	2004/10/3	13:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20041003:M2	BFSA:LTBCC:20041003:M2	BFSA:LTBCC:20041003	Total Count	83	hectare	40 observer-minutes	2004/10/3	14:10+0800	M2	23.068	120.0513	WGS84	750	0.00001
BFSA:LTBCC:20041003:J2	BFSA:LTBCC:20041003:J2	BFSA:LTBCC:20041003	Line Transect	150	metre	60 observer-minutes	2004/10/3	15:05+0800	J2	23.0856	120.0366	WGS84	75	0.00001
BFSA:LTBCC:20041003:J3	BFSA:LTBCC:20041003:J3	BFSA:LTBCC:20041003	Line Transect	450	metre	60 observer-minutes	2004/10/3	15:40+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20041003:E1	BFSA:LTBCC:20041003:E1	BFSA:LTBCC:20041003	Total Count	12	hectare	180 observer-minutes	2004/10/3	10:30+0800	E1	23.0755	120.067	WGS84	350	0.00001
BFSA:LTBCC:20041003:D1	BFSA:LTBCC:20041003:D1	BFSA:LTBCC:20041003	Total Count	20	hectare	200 observer-minutes	2004/10/3	08:30+0800	D1	23.1709	120.1148	WGS84	330	0.00001
BFSA:LTBCC:20041003:D2	BFSA:LTBCC:20041003:D2	BFSA:LTBCC:20041003	Total Count	20	hectare	200 observer-minutes	2004/10/3	09:20+0800	D2	23.1706	120.1108	WGS84	340	0.00001
BFSA:LTBCC:20041010:M1	BFSA:LTBCC:20041010:M1	BFSA:LTBCC:20041010	Total Count	98	hectare	90 observer-minutes	2004/10/10	13:00+0800	M1	23.0754	120.0487	WGS84	800	0.00001
BFSA:LTBCC:20041010:J3	BFSA:LTBCC:20041010:J3	BFSA:LTBCC:20041010	Line Transect	450	metre	30 observer-minutes	2004/10/10	15:40+0800	J3	23.077	120.037	WGS84	200	0.00001
BFSA:LTBCC:20041010:E1	BFSA:LTBCC:20041010:E1	BFSA:LTBCC:20041010	Total Count	12	hectare	90 observer-minutes	2004/10/10	10:30+0800	E1	23.0755	120.067	WGS84	350	0.00001
