trendEventID,occurrenceID,eventID
2011_D1,BFSA:LTBCC:20110528:0034,BFSA:LTBCC:20110528:D1
2011_D1,BFSA:LTBCC:20110528:0035,BFSA:LTBCC:20110528:D1
2011_D1,BFSA:LTBCC:20110528:0036,BFSA:LTBCC:20110528:D1
2011_D1,BFSA:LTBCC:20110528:0037,BFSA:LTBCC:20110528:D1
2011_D1,BFSA:LTBCC:20110528:0038,BFSA:LTBCC:20110528:D1
2011_D2,BFSA:LTBCC:20110528:0039,BFSA:LTBCC:20110528:D2
2011_D2,BFSA:LTBCC:20110528:0040,BFSA:LTBCC:20110528:D2
2011_L0,BFSA:LTBCC:20110611:0001,BFSA:LTBCC:20110611:L0
2011_L0,BFSA:LTBCC:20110611:0002,BFSA:LTBCC:20110611:L0
2011_L0,BFSA:LTBCC:20110611:0003,BFSA:LTBCC:20110611:L0
2011_L0,BFSA:LTBCC:20110611:0004,BFSA:LTBCC:20110611:L0
2011_M1,BFSA:LTBCC:20110611:0005,BFSA:LTBCC:20110611:M1
2011_M1,BFSA:LTBCC:20110611:0006,BFSA:LTBCC:20110611:M1
2011_M1,BFSA:LTBCC:20110611:0007,BFSA:LTBCC:20110611:M1
2011_M2,BFSA:LTBCC:20110611:0008,BFSA:LTBCC:20110611:M2
2011_M2,BFSA:LTBCC:20110611:0009,BFSA:LTBCC:20110611:M2
2011_M2,BFSA:LTBCC:20110611:0010,BFSA:LTBCC:20110611:M2
2011_M2,BFSA:LTBCC:20110611:0011,BFSA:LTBCC:20110611:M2
2011_M2,BFSA:LTBCC:20110611:0012,BFSA:LTBCC:20110611:M2
2011_J2,BFSA:LTBCC:20110611:0013,BFSA:LTBCC:20110611:J2
2011_J2,BFSA:LTBCC:20110611:0014,BFSA:LTBCC:20110611:J2
2011_J2,BFSA:LTBCC:20110611:0015,BFSA:LTBCC:20110611:J2
2011_J2,BFSA:LTBCC:20110611:0016,BFSA:LTBCC:20110611:J2
2011_J2,BFSA:LTBCC:20110611:0017,BFSA:LTBCC:20110611:J2
2011_J2,BFSA:LTBCC:20110611:0018,BFSA:LTBCC:20110611:J2
2011_J3,BFSA:LTBCC:20110611:0019,BFSA:LTBCC:20110611:J3
2011_J3,BFSA:LTBCC:20110611:0020,BFSA:LTBCC:20110611:J3
2011_J3,BFSA:LTBCC:20110611:0021,BFSA:LTBCC:20110611:J3
2011_J3,BFSA:LTBCC:20110611:0022,BFSA:LTBCC:20110611:J3
2011_J3,BFSA:LTBCC:20110611:0023,BFSA:LTBCC:20110611:J3
2011_J3,BFSA:LTBCC:20110611:0024,BFSA:LTBCC:20110611:J3
2011_J3,BFSA:LTBCC:20110611:0025,BFSA:LTBCC:20110611:J3
2011_J3,BFSA:LTBCC:20110611:0026,BFSA:LTBCC:20110611:J3
2011_J3,BFSA:LTBCC:20110611:0027,BFSA:LTBCC:20110611:J3
2011_J3,BFSA:LTBCC:20110611:0028,BFSA:LTBCC:20110611:J3
2011_E1,BFSA:LTBCC:20110611:0029,BFSA:LTBCC:20110611:E1
2011_E1,BFSA:LTBCC:20110611:0030,BFSA:LTBCC:20110611:E1
2011_E2,BFSA:LTBCC:20110611:0031,BFSA:LTBCC:20110611:E2
2011_E2,BFSA:LTBCC:20110611:0032,BFSA:LTBCC:20110611:E2
2011_E2,BFSA:LTBCC:20110611:0033,BFSA:LTBCC:20110611:E2
2011_D1,BFSA:LTBCC:20110611:0034,BFSA:LTBCC:20110611:D1
2011_D1,BFSA:LTBCC:20110611:0035,BFSA:LTBCC:20110611:D1
2011_D1,BFSA:LTBCC:20110611:0036,BFSA:LTBCC:20110611:D1
2011_D1,BFSA:LTBCC:20110611:0037,BFSA:LTBCC:20110611:D1
2011_D1,BFSA:LTBCC:20110611:0038,BFSA:LTBCC:20110611:D1
2011_D1,BFSA:LTBCC:20110611:0039,BFSA:LTBCC:20110611:D1
2011_D1,BFSA:LTBCC:20110611:0040,BFSA:LTBCC:20110611:D1
2011_D1,BFSA:LTBCC:20110611:0041,BFSA:LTBCC:20110611:D1
2011_D2,BFSA:LTBCC:20110611:0042,BFSA:LTBCC:20110611:D2
2011_D2,BFSA:LTBCC:20110611:0043,BFSA:LTBCC:20110611:D2
2011_D2,BFSA:LTBCC:20110611:0044,BFSA:LTBCC:20110611:D2
2011_D2,BFSA:LTBCC:20110611:0045,BFSA:LTBCC:20110611:D2
2011_D2,BFSA:LTBCC:20110611:0046,BFSA:LTBCC:20110611:D2
2011_D2,BFSA:LTBCC:20110611:0047,BFSA:LTBCC:20110611:D2
2011_D2,BFSA:LTBCC:20110611:0048,BFSA:LTBCC:20110611:D2
2011_L0,BFSA:LTBCC:20110625:0001,BFSA:LTBCC:20110625:L0
2011_L0,BFSA:LTBCC:20110625:0002,BFSA:LTBCC:20110625:L0
2011_L0,BFSA:LTBCC:20110625:0003,BFSA:LTBCC:20110625:L0
2011_L0,BFSA:LTBCC:20110625:0004,BFSA:LTBCC:20110625:L0
